epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,471.318,1.68716,3.24508,2.10762,1.81429,0.07504,0.41667,0.05857,0.01284,0.02728,0.04167,0.00834,0.00135,2.87068,6.08165,11.214,4.08463,0.0013862,0.0013862,0.0013862
33,482.929,1.76132,3.4453,2.07244,1.91337,0.0731,0.29167,0.05704,0.01471,0.03239,0.08333,0.00753,0.0027,2.74989,5.48787,8.6455,3.88689,0.0013664,0.0013664,0.0013664
34,497.435,1.65037,3.37132,2.00446,1.81183,0.07805,0.375,0.06357,0.01357,0.0449,0.04167,0.00501,0.00218,2.76316,5.25126,6.79358,3.5974,0.0013466,0.0013466,0.0013466
35,509.353,1.77211,3.55306,2.15618,1.91106,0.06003,0.41667,0.04388,0.01093,0.06526,0.04167,0.00695,0.0041,2.74153,5.15722,6.61937,3.47405,0.0013268,0.0013268,0.0013268
36,520.666,1.72952,3.52384,2.10027,1.84456,0.05592,0.41667,0.04471,0.01091,0.0847,0.04167,0.00657,0.00393,2.75237,4.94325,6.73588,3.2736,0.001307,0.001307,0.001307
37,533.334,1.66614,3.28965,2.05792,1.82402,0.08291,0.375,0.05554,0.01322,0.16786,0.04167,0.01395,0.00676,2.86718,4.67798,4.87799,3.31276,0.0012872,0.0012872,0.0012872
38,545.746,1.71547,3.25522,2.0227,1.86457,0.14428,0.375,0.10141,0.02141,0.10565,0.08333,0.01393,0.00514,2.94404,4.58749,4.34686,3.50515,0.0012674,0.0012674,0.0012674
39,559.904,1.69233,3.43518,2.04743,1.79915,0.26172,0.20833,0.12495,0.02275,0.10058,0.08333,0.01607,0.00553,2.98191,4.48015,3.80847,3.65794,0.0012476,0.0012476,0.0012476
40,571.295,1.76607,3.42776,2.03178,1.82226,0.16977,0.29167,0.11868,0.02621,0.29129,0.125,0.0584,0.03231,2.95266,4.06534,4.04306,3.65298,0.0012278,0.0012278,0.0012278
41,584.247,1.64226,3.25065,1.93155,1.75028,0.19596,0.29167,0.14507,0.0292,0.37661,0.125,0.08394,0.04062,2.98584,4.05883,4.95427,3.78576,0.001208,0.001208,0.001208
42,598.606,1.67171,3.38824,1.94505,1.79254,0.24497,0.20833,0.1351,0.04143,0.42191,0.08333,0.07672,0.03032,2.8206,4.0206,4.99964,3.50047,0.0011882,0.0011882,0.0011882
43,612.732,1.70254,3.09648,1.89934,1.76907,0.15853,0.25,0.1162,0.03403,0.27178,0.08333,0.0694,0.02604,2.74804,3.77963,4.67157,3.43472,0.0011684,0.0011684,0.0011684
44,624.438,1.56214,3.14237,1.84811,1.69742,0.10306,0.29167,0.09327,0.03306,0.31475,0.08333,0.07686,0.03453,2.84978,3.91989,4.65842,3.53181,0.0011486,0.0011486,0.0011486
45,635.981,1.60655,3.23945,1.97139,1.76281,0.15002,0.29167,0.11364,0.03723,0.21973,0.08333,0.06163,0.02536,3.01646,3.94692,4.39179,3.55839,0.0011288,0.0011288,0.0011288
46,648.043,1.53513,3.14422,1.74353,1.65683,0.15855,0.29167,0.1259,0.03715,0.08882,0.125,0.05582,0.01785,3.171,4.02606,4.43039,3.64751,0.001109,0.001109,0.001109
47,659.732,1.54365,3.16561,1.80708,1.64649,0.10859,0.375,0.13518,0.03718,0.21619,0.08333,0.06834,0.02812,3.09808,4.08024,4.1725,3.65116,0.0010892,0.0010892,0.0010892
